subject,space,condition,rate,metric,threshold
sub-01,DeCon,PropFB,57.9,TNR,1
sub-01,mni,PropFB,0.0,TNR,1
sub-10,DeCon,PropFB,14.0,TNR,1
sub-10,mni,PropFB,7.7,TNR,1
sub-11,DeCon,Prop,50.0,TNR,1
sub-11,mni,Prop,36.4,TNR,1
sub-12,DeCon,Prop,48.4,TNR,1
sub-12,mni,Prop,25.0,TNR,1
sub-13,DeCon,PropFB,33.3,TNR,1
sub-13,mni,PropFB,0.0,TNR,1
sub-14,DeCon,VM,26.9,TNR,1
sub-14,mni,VM,26.9,TNR,1
sub-15,DeCon,VMFB,44.4,TNR,1
sub-15,mni,VMFB,60.0,TNR,1
sub-16,DeCon,VM,37.9,TNR,1
sub-16,mni,VM,18.8,TNR,1
sub-17,DeCon,VMFB,40.9,TNR,1
sub-17,mni,VMFB,33.3,TNR,1
sub-18,DeCon,Prop,56.7,TNR,1
sub-18,mni,Prop,36.4,TNR,1
sub-19,DeCon,PropFB,40.0,TNR,1
sub-19,mni,PropFB,8.3,TNR,1
sub-27,DeCon,Prop,46.4,TNR,1
sub-27,mni,Prop,10.0,TNR,1
sub-28,DeCon,VMFB,41.7,TNR,1
sub-28,mni,VMFB,0.0,TNR,1
sub-29,DeCon,Prop,41.7,TNR,1
sub-29,DeCon,Prop,41.2,TNR,1
sub-29,mni,Prop,30.0,TNR,1
sub-29,mni,Prop,0.0,TNR,1
sub-30,DeCon,VMFB,39.3,TNR,1
sub-30,mni,VMFB,0.0,TNR,1
sub-31,DeCon,VM,51.9,TNR,1
sub-31,mni,VM,0.0,TNR,1
sub-32,DeCon,VMFB,35.0,TNR,1
sub-32,mni,VMFB,0.0,TNR,1
sub-33,DeCon,PropFB,11.8,TNR,1
sub-33,mni,PropFB,0.0,TNR,1
sub-34,DeCon,Prop,41.7,TNR,1
sub-34,mni,Prop,0.0,TNR,1
sub-35,DeCon,VMFB,14.8,TNR,1
sub-35,mni,VMFB,0.0,TNR,1
sub-36,DeCon,VM,20.8,TNR,1
sub-36,mni,VM,0.0,TNR,1
sub-37,DeCon,VMFB,60.9,TNR,1
sub-37,mni,VMFB,0.0,TNR,1
sub-38,DeCon,VM,52.2,TNR,1
sub-38,mni,VM,0.0,TNR,1
sub-39,DeCon,VMFB,42.9,TNR,1
sub-39,mni,VMFB,0.0,TNR,1
sub-40,DeCon,PropFB,28.6,TNR,1
sub-40,DeCon,PropFB,50.0,TNR,1
sub-40,mni,PropFB,0.0,TNR,1
sub-40,mni,PropFB,0.0,TNR,1
sub-42,DeCon,Prop,38.2,TNR,1
sub-42,mni,Prop,0.0,TNR,1
sub-43,DeCon,Prop,25.0,TNR,1
sub-43,mni,Prop,0.0,TNR,1
sub-44,DeCon,VMFB,42.1,TNR,1
sub-44,mni,VMFB,0.0,TNR,1
sub-49,DeCon,PropFB,56.5,TNR,1
sub-49,mni,PropFB,0.0,TNR,1
sub-52,DeCon,VM,33.3,TNR,1
sub-52,mni,VM,0.0,TNR,1
sub-54,DeCon,VM,42.1,TNR,1
sub-54,mni,VM,0.0,TNR,1
sub-58,DeCon,Prop,45.8,TNR,1
sub-58,mni,Prop,0.0,TNR,1
sub-60,DeCon,VMFB,28.6,TNR,1
sub-60,mni,VMFB,0.0,TNR,1
sub-65,DeCon,PropFB,48.1,TNR,1
sub-65,mni,PropFB,0.0,TNR,1
sub-69,DeCon,VM,52.4,TNR,1
sub-69,mni,VM,0.0,TNR,1
sub-71,DeCon,Prop,42.9,TNR,1
sub-71,mni,Prop,0.0,TNR,1
sub-73,DeCon,VM,32.0,TNR,1
sub-73,mni,VM,0.0,TNR,1
sub-74,DeCon,VM,48.3,TNR,1
sub-74,mni,VM,0.0,TNR,1
sub-75,DeCon,PropFB,46.7,TNR,1
sub-75,mni,PropFB,0.0,TNR,1
sub-76,DeCon,VMFB,39.4,TNR,1
sub-76,mni,VMFB,0.0,TNR,1
sub-77,DeCon,VM,55.0,TNR,1
sub-77,mni,VM,0.0,TNR,1
sub-01,DeCon,PropFB,63.2,TNR,2
sub-01,mni,PropFB,7.1,TNR,2
sub-10,DeCon,PropFB,18.0,TNR,2
sub-10,mni,PropFB,11.5,TNR,2
sub-11,DeCon,Prop,58.3,TNR,2
sub-11,mni,Prop,36.4,TNR,2
sub-12,DeCon,Prop,54.8,TNR,2
sub-12,mni,Prop,33.3,TNR,2
sub-13,DeCon,PropFB,40.7,TNR,2
sub-13,mni,PropFB,25.0,TNR,2
sub-14,DeCon,VM,42.3,TNR,2
sub-14,mni,VM,42.3,TNR,2
sub-15,DeCon,VMFB,48.1,TNR,2
sub-15,mni,VMFB,60.0,TNR,2
sub-16,DeCon,VM,44.8,TNR,2
sub-16,mni,VM,18.8,TNR,2
sub-17,DeCon,VMFB,45.5,TNR,2
sub-17,mni,VMFB,44.4,TNR,2
sub-18,DeCon,Prop,70.0,TNR,2
sub-18,mni,Prop,36.4,TNR,2
sub-19,DeCon,PropFB,48.0,TNR,2
sub-19,mni,PropFB,16.7,TNR,2
sub-27,DeCon,Prop,46.4,TNR,2
sub-27,mni,Prop,10.0,TNR,2
sub-28,DeCon,VMFB,41.7,TNR,2
sub-28,mni,VMFB,0.0,TNR,2
sub-29,DeCon,Prop,41.7,TNR,2
sub-29,DeCon,Prop,41.2,TNR,2
sub-29,mni,Prop,30.0,TNR,2
sub-29,mni,Prop,0.0,TNR,2
sub-30,DeCon,VMFB,39.3,TNR,2
sub-30,mni,VMFB,0.0,TNR,2
sub-31,DeCon,VM,70.4,TNR,2
sub-31,mni,VM,0.0,TNR,2
sub-32,DeCon,VMFB,40.0,TNR,2
sub-32,mni,VMFB,0.0,TNR,2
sub-33,DeCon,PropFB,29.4,TNR,2
sub-33,mni,PropFB,0.0,TNR,2
sub-34,DeCon,Prop,50.0,TNR,2
sub-34,mni,Prop,0.0,TNR,2
sub-35,DeCon,VMFB,18.5,TNR,2
sub-35,mni,VMFB,0.0,TNR,2
sub-36,DeCon,VM,20.8,TNR,2
sub-36,mni,VM,0.0,TNR,2
sub-37,DeCon,VMFB,65.2,TNR,2
sub-37,mni,VMFB,0.0,TNR,2
sub-38,DeCon,VM,52.2,TNR,2
sub-38,mni,VM,0.0,TNR,2
sub-39,DeCon,VMFB,50.0,TNR,2
sub-39,mni,VMFB,0.0,TNR,2
sub-40,DeCon,PropFB,42.9,TNR,2
sub-40,DeCon,PropFB,50.0,TNR,2
sub-40,mni,PropFB,0.0,TNR,2
sub-40,mni,PropFB,0.0,TNR,2
sub-42,DeCon,Prop,47.1,TNR,2
sub-42,mni,Prop,0.0,TNR,2
sub-43,DeCon,Prop,37.5,TNR,2
sub-43,mni,Prop,0.0,TNR,2
sub-44,DeCon,VMFB,52.6,TNR,2
sub-44,mni,VMFB,0.0,TNR,2
sub-49,DeCon,PropFB,69.6,TNR,2
sub-49,mni,PropFB,0.0,TNR,2
sub-52,DeCon,VM,37.5,TNR,2
sub-52,mni,VM,0.0,TNR,2
sub-54,DeCon,VM,55.3,TNR,2
sub-54,mni,VM,0.0,TNR,2
sub-58,DeCon,Prop,54.2,TNR,2
sub-58,mni,Prop,0.0,TNR,2
sub-60,DeCon,VMFB,57.1,TNR,2
sub-60,mni,VMFB,0.0,TNR,2
sub-65,DeCon,PropFB,51.9,TNR,2
sub-65,mni,PropFB,0.0,TNR,2
sub-69,DeCon,VM,57.1,TNR,2
sub-69,mni,VM,0.0,TNR,2
sub-71,DeCon,Prop,64.3,TNR,2
sub-71,mni,Prop,0.0,TNR,2
sub-73,DeCon,VM,32.0,TNR,2
sub-73,mni,VM,0.0,TNR,2
sub-74,DeCon,VM,55.2,TNR,2
sub-74,mni,VM,0.0,TNR,2
sub-75,DeCon,PropFB,53.3,TNR,2
sub-75,mni,PropFB,0.0,TNR,2
sub-76,DeCon,VMFB,42.4,TNR,2
sub-76,mni,VMFB,0.0,TNR,2
sub-77,DeCon,VM,65.0,TNR,2
sub-77,mni,VM,0.0,TNR,2
sub-01,DeCon,PropFB,63.2,TNR,5
sub-01,mni,PropFB,14.3,TNR,5
sub-10,DeCon,PropFB,28.0,TNR,5
sub-10,mni,PropFB,11.5,TNR,5
sub-11,DeCon,Prop,66.7,TNR,5
sub-11,mni,Prop,45.5,TNR,5
sub-12,DeCon,Prop,64.5,TNR,5
sub-12,mni,Prop,50.0,TNR,5
sub-13,DeCon,PropFB,40.7,TNR,5
sub-13,mni,PropFB,25.0,TNR,5
sub-14,DeCon,VM,53.8,TNR,5
sub-14,mni,VM,53.8,TNR,5
sub-15,DeCon,VMFB,51.9,TNR,5
sub-15,mni,VMFB,60.0,TNR,5
sub-16,DeCon,VM,58.6,TNR,5
sub-16,mni,VM,31.2,TNR,5
sub-17,DeCon,VMFB,59.1,TNR,5
sub-17,mni,VMFB,55.6,TNR,5
sub-18,DeCon,Prop,76.7,TNR,5
sub-18,mni,Prop,54.5,TNR,5
sub-19,DeCon,PropFB,60.0,TNR,5
sub-19,mni,PropFB,25.0,TNR,5
sub-27,DeCon,Prop,50.0,TNR,5
sub-27,mni,Prop,40.0,TNR,5
sub-28,DeCon,VMFB,50.0,TNR,5
sub-28,mni,VMFB,0.0,TNR,5
sub-29,DeCon,Prop,45.8,TNR,5
sub-29,DeCon,Prop,47.1,TNR,5
sub-29,mni,Prop,50.0,TNR,5
sub-29,mni,Prop,0.0,TNR,5
sub-30,DeCon,VMFB,53.6,TNR,5
sub-30,mni,VMFB,0.0,TNR,5
sub-31,DeCon,VM,81.5,TNR,5
sub-31,mni,VM,0.0,TNR,5
sub-32,DeCon,VMFB,55.0,TNR,5
sub-32,mni,VMFB,0.0,TNR,5
sub-33,DeCon,PropFB,35.3,TNR,5
sub-33,mni,PropFB,0.0,TNR,5
sub-34,DeCon,Prop,58.3,TNR,5
sub-34,mni,Prop,0.0,TNR,5
sub-35,DeCon,VMFB,25.9,TNR,5
sub-35,mni,VMFB,0.0,TNR,5
sub-36,DeCon,VM,33.3,TNR,5
sub-36,mni,VM,0.0,TNR,5
sub-37,DeCon,VMFB,69.6,TNR,5
sub-37,mni,VMFB,0.0,TNR,5
sub-38,DeCon,VM,69.6,TNR,5
sub-38,mni,VM,0.0,TNR,5
sub-39,DeCon,VMFB,50.0,TNR,5
sub-39,mni,VMFB,0.0,TNR,5
sub-40,DeCon,PropFB,52.4,TNR,5
sub-40,DeCon,PropFB,59.1,TNR,5
sub-40,mni,PropFB,0.0,TNR,5
sub-40,mni,PropFB,0.0,TNR,5
sub-42,DeCon,Prop,52.9,TNR,5
sub-42,mni,Prop,0.0,TNR,5
sub-43,DeCon,Prop,45.8,TNR,5
sub-43,mni,Prop,0.0,TNR,5
sub-44,DeCon,VMFB,73.7,TNR,5
sub-44,mni,VMFB,0.0,TNR,5
sub-49,DeCon,PropFB,78.3,TNR,5
sub-49,mni,PropFB,0.0,TNR,5
sub-52,DeCon,VM,41.7,TNR,5
sub-52,mni,VM,0.0,TNR,5
sub-54,DeCon,VM,63.2,TNR,5
sub-54,mni,VM,0.0,TNR,5
sub-58,DeCon,Prop,58.3,TNR,5
sub-58,mni,Prop,0.0,TNR,5
sub-60,DeCon,VMFB,85.7,TNR,5
sub-60,mni,VMFB,0.0,TNR,5
sub-65,DeCon,PropFB,51.9,TNR,5
sub-65,mni,PropFB,0.0,TNR,5
sub-69,DeCon,VM,57.1,TNR,5
sub-69,mni,VM,0.0,TNR,5
sub-71,DeCon,Prop,64.3,TNR,5
sub-71,mni,Prop,0.0,TNR,5
sub-73,DeCon,VM,32.0,TNR,5
sub-73,mni,VM,0.0,TNR,5
sub-74,DeCon,VM,58.6,TNR,5
sub-74,mni,VM,0.0,TNR,5
sub-75,DeCon,PropFB,60.0,TNR,5
sub-75,mni,PropFB,0.0,TNR,5
sub-76,DeCon,VMFB,48.5,TNR,5
sub-76,mni,VMFB,0.0,TNR,5
sub-77,DeCon,VM,65.0,TNR,5
sub-77,mni,VM,0.0,TNR,5
sub-01,DeCon,PropFB,68.4,TNR,10
sub-01,mni,PropFB,21.4,TNR,10
sub-10,DeCon,PropFB,28.0,TNR,10
sub-10,mni,PropFB,15.4,TNR,10
sub-11,DeCon,Prop,75.0,TNR,10
sub-11,mni,Prop,63.6,TNR,10
sub-12,DeCon,Prop,67.7,TNR,10
sub-12,mni,Prop,58.3,TNR,10
sub-13,DeCon,PropFB,44.4,TNR,10
sub-13,mni,PropFB,50.0,TNR,10
sub-14,DeCon,VM,61.5,TNR,10
sub-14,mni,VM,61.5,TNR,10
sub-15,DeCon,VMFB,66.7,TNR,10
sub-15,mni,VMFB,60.0,TNR,10
sub-16,DeCon,VM,65.5,TNR,10
sub-16,mni,VM,43.8,TNR,10
sub-17,DeCon,VMFB,59.1,TNR,10
sub-17,mni,VMFB,77.8,TNR,10
sub-18,DeCon,Prop,76.7,TNR,10
sub-18,mni,Prop,72.7,TNR,10
sub-19,DeCon,PropFB,64.0,TNR,10
sub-19,mni,PropFB,25.0,TNR,10
sub-27,DeCon,Prop,57.1,TNR,10
sub-27,mni,Prop,40.0,TNR,10
sub-28,DeCon,VMFB,66.7,TNR,10
sub-28,mni,VMFB,0.0,TNR,10
sub-29,DeCon,Prop,54.2,TNR,10
sub-29,DeCon,Prop,52.9,TNR,10
sub-29,mni,Prop,50.0,TNR,10
sub-29,mni,Prop,0.0,TNR,10
sub-30,DeCon,VMFB,64.3,TNR,10
sub-30,mni,VMFB,0.0,TNR,10
sub-31,DeCon,VM,81.5,TNR,10
sub-31,mni,VM,0.0,TNR,10
sub-32,DeCon,VMFB,60.0,TNR,10
sub-32,mni,VMFB,0.0,TNR,10
sub-33,DeCon,PropFB,58.8,TNR,10
sub-33,mni,PropFB,0.0,TNR,10
sub-34,DeCon,Prop,75.0,TNR,10
sub-34,mni,Prop,0.0,TNR,10
sub-35,DeCon,VMFB,29.6,TNR,10
sub-35,mni,VMFB,0.0,TNR,10
sub-36,DeCon,VM,33.3,TNR,10
sub-36,mni,VM,0.0,TNR,10
sub-37,DeCon,VMFB,73.9,TNR,10
sub-37,mni,VMFB,0.0,TNR,10
sub-38,DeCon,VM,69.6,TNR,10
sub-38,mni,VM,0.0,TNR,10
sub-39,DeCon,VMFB,57.1,TNR,10
sub-39,mni,VMFB,0.0,TNR,10
sub-40,DeCon,PropFB,52.4,TNR,10
sub-40,DeCon,PropFB,63.6,TNR,10
sub-40,mni,PropFB,0.0,TNR,10
sub-40,mni,PropFB,0.0,TNR,10
sub-42,DeCon,Prop,58.8,TNR,10
sub-42,mni,Prop,0.0,TNR,10
sub-43,DeCon,Prop,54.2,TNR,10
sub-43,mni,Prop,0.0,TNR,10
sub-44,DeCon,VMFB,73.7,TNR,10
sub-44,mni,VMFB,0.0,TNR,10
sub-49,DeCon,PropFB,87.0,TNR,10
sub-49,mni,PropFB,0.0,TNR,10
sub-52,DeCon,VM,45.8,TNR,10
sub-52,mni,VM,0.0,TNR,10
sub-54,DeCon,VM,68.4,TNR,10
sub-54,mni,VM,0.0,TNR,10
sub-58,DeCon,Prop,66.7,TNR,10
sub-58,mni,Prop,0.0,TNR,10
sub-60,DeCon,VMFB,85.7,TNR,10
sub-60,mni,VMFB,0.0,TNR,10
sub-65,DeCon,PropFB,51.9,TNR,10
sub-65,mni,PropFB,0.0,TNR,10
sub-69,DeCon,VM,71.4,TNR,10
sub-69,mni,VM,0.0,TNR,10
sub-71,DeCon,Prop,71.4,TNR,10
sub-71,mni,Prop,0.0,TNR,10
sub-73,DeCon,VM,40.0,TNR,10
sub-73,mni,VM,0.0,TNR,10
sub-74,DeCon,VM,58.6,TNR,10
sub-74,mni,VM,0.0,TNR,10
sub-75,DeCon,PropFB,73.3,TNR,10
sub-75,mni,PropFB,0.0,TNR,10
sub-76,DeCon,VMFB,63.6,TNR,10
sub-76,mni,VMFB,0.0,TNR,10
sub-77,DeCon,VM,70.0,TNR,10
sub-77,mni,VM,0.0,TNR,10
sub-01,DeCon,PropFB,73.7,TNR,20
sub-01,mni,PropFB,35.7,TNR,20
sub-10,DeCon,PropFB,28.0,TNR,20
sub-10,mni,PropFB,19.2,TNR,20
sub-11,DeCon,Prop,83.3,TNR,20
sub-11,mni,Prop,63.6,TNR,20
sub-12,DeCon,Prop,71.0,TNR,20
sub-12,mni,Prop,66.7,TNR,20
sub-13,DeCon,PropFB,48.1,TNR,20
sub-13,mni,PropFB,75.0,TNR,20
